date,net_value,return,drawdown
20230403,1.004148,,0.0
20230404,0.9938565,-0.010249019,0.010249019
20230406,0.9938565,0.0,0.010249019
20230407,0.9938565,0.0,0.010249019
20230410,0.98002046,-0.013921559,0.024027884
20230411,0.9923745,0.0126059055,0.011724889
20230412,0.9923745,0.0,0.011724889
20230413,0.9923745,0.0,0.011724889
20230414,0.9923745,0.0,0.011724889
20230417,0.9923745,0.0,0.011724889
20230418,0.9898414,-0.002552569,0.014247477
20230419,0.9937863,0.003985405,0.010318935
20230420,0.9908545,-0.002950132,0.013238609
20230421,0.9908545,0.0,0.013238609
20230424,0.9908545,0.0,0.013238609
20230425,0.9908545,0.0,0.013238609
20230426,0.9946217,0.0038019419,0.009486973
20230427,0.9967236,0.002113223,0.0073937178
20230428,1.0151428,0.018479705,0.0
20230504,1.0231903,0.007927418,0.0
20230505,1.0225196,-0.0006554723,0.0006554723
20230508,1.0317965,0.009072542,0.0
20230509,1.0555255,0.022997856,0.0
20230510,1.0511158,-0.0041778088,0.0041778088
20230511,1.0924616,0.03933513,0.0
20230512,1.0841575,-0.0076013207,0.0076013207
20230515,1.0841275,-2.759695e-05,0.0076286793
20230516,1.0877314,0.003324151,0.00432986
20230517,1.108255,0.018868327,0.0
20230518,1.0997611,-0.0076642036,0.0076642036
20230519,1.1099423,0.009257674,0.0
20230522,1.1096442,-0.00026863813,0.00026863813
20230523,1.1152368,0.0050399303,0.0
20230524,1.1297373,0.013002157,0.0
20230525,1.136129,0.005657792,0.0
20230526,1.1152908,-0.018341482,0.018341482
20230529,1.1009039,-0.012899697,0.031004548
20230530,1.0996412,-0.0011469126,0.032115936
20230531,1.0980802,-0.0014196038,0.033489943
20230601,1.1023637,0.0039008856,0.029719591
20230602,1.1027592,0.00035881996,0.02937144
20230605,1.1094184,0.006038666,0.023510218
20230606,1.1255981,0.014583945,0.009269178
20230607,1.1086522,-0.015054941,0.024184585
20230608,1.111425,0.002501011,0.021744013
20230609,1.111425,0.0,0.021744013
20230612,1.1411456,0.026740909,0.0
20230613,1.1212653,-0.017421365,0.017421365
20230614,1.1249783,0.0033113956,0.014167607
20230615,1.1269407,0.0017443895,0.012447894
20230616,1.1269407,0.0,0.012447894
20230619,1.1402338,0.01179564,0.00079905987
20230620,1.1528792,0.011090279,0.0
20230621,1.1441754,-0.0075496435,0.0075496435
20230626,1.180722,0.031941414,0.0
20230627,1.1571673,-0.019949377,0.019949377
20230628,1.1792834,0.01911223,0.0012184381
20230629,1.1872264,0.006735444,0.0
20230630,1.2079909,0.01748991,0.0
20230703,1.2327207,0.02047193,0.0
20230704,1.262919,0.024497151,0.0
20230705,1.2476456,-0.012093663,0.012093663
20230706,1.2476456,0.0,0.012093663
20230707,1.262131,0.01161015,0.0006239414
20230710,1.230448,-0.025102735,0.025711
20230711,1.2405983,0.008249283,0.01767385
20230712,1.2178798,-0.018312573,0.03566277
20230713,1.2276993,0.0080628395,0.027887523
20230714,1.2244585,-0.0026397705,0.030453622
20230717,1.243152,0.015266776,0.015651762
20230718,1.2463055,0.0025366545,0.013154805
20230719,1.2537522,0.005975127,0.0072583556
20230720,1.2511331,-0.0020890236,0.00933224
20230721,1.2448915,-0.00498873,0.014274418
20230724,1.2333665,-0.009257853,0.023400128
20230725,1.2396716,0.005112052,0.018407643
20230726,1.2743807,0.027998567,0.0
20230727,1.2473087,-0.021243215,0.021243215
20230728,1.2473087,0.0,0.021243215
20230731,1.2473087,0.0,0.021243215
20230801,1.2407684,-0.00524354,0.026375353
20230802,1.2389089,-0.0014986992,0.027834535
20230803,1.2389089,0.0,0.027834535
20230804,1.2389089,0.0,0.027834535
20230807,1.2389089,0.0,0.027834535
20230808,1.2389089,0.0,0.027834535
20230809,1.2396978,0.000636816,0.02721548
20230810,1.2811978,0.033475876,0.0
20230811,1.3268478,0.035630703,0.0
20230814,1.3352503,0.006332636,0.0
20230815,1.3471819,0.008935928,0.0
20230816,1.3492122,0.0015070438,0.0
20230817,1.3412994,-0.0058647394,0.0058647394
20230818,1.3367256,-0.0034099817,0.009254694
20230821,1.3367256,0.0,0.009254694
20230822,1.3367256,0.0,0.009254694
20230823,1.3359647,-0.00056922436,0.009818673
20230824,1.3608127,0.018599272,0.0
20230825,1.3118553,-0.03597653,0.03597653
20230828,1.3139794,0.0016191006,0.034415662
